Data;Categorie;Costo;mese;anno
23/09/2022;Cibo;33;09;2022
23/09/2022;Cena fuori;15;09;2022
17/09/2022;Cibo;51;09;2022
16/09/2022;Generali;30;09;2022
15/09/2022;Cibo;13;09;2022
15/09/2022;Cibo;13;09;2022
15/09/2022;Casalinghi;46;09;2022
13/09/2022;Cibo;18;09;2022
13/09/2022;Generali;6;09;2022
13/09/2022;Cibo;13;09;2022
10/09/2022;Cibo;70;09;2022
08/09/2022;Cibo;25;09;2022
04/09/2022;Cibo;80;09;2022
04/09/2022;Cena fuori;17;09;2022
18/08/2022;Cena fuori;35;08;2022
18/08/2022;Cena fuori;44;08;2022
07/08/2022;Generali;32;08;2022
03/08/2022;Cibo;34;08;2022
01/08/2022;Cena fuori;63;08;2022
31/07/2022;Cena fuori;22;07;2022
29/07/2022;Cena fuori;30;07;2022
27/07/2022;Cena fuori;15;07;2022
26/07/2022;Cibo;30;07;2022
25/07/2022;Cibo;40;07;2022
24/07/2022;Cena fuori;21;07;2022
22/07/2022;Cena fuori;16;07;2022
17/07/2022;Cena fuori;32;07;2022
17/07/2022;Cibo;36;07;2022
14/07/2022;Cena fuori;16;07;2022
14/07/2022;Cibo;16;07;2022
13/07/2022;Cibo;10;07;2022
12/07/2022;Cena fuori;12;07;2022
12/07/2022;Cibo;31;07;2022
08/07/2022;Cibo;21;07;2022
08/07/2022;Cibo;20;07;2022
07/07/2022;Cena fuori;12;07;2022
07/07/2022;cibo;7;07;2022
04/07/2022;Cibo;60;07;2022
01/07/2022;Generali;35,85;07;2022
29/06/2022;Cibo;37;06;2022
29/06/2022;Cibo;22;06;2022
28/06/2022;Cibo;7;06;2022
27/06/2022;Cibo;20;06;2022
26/06/2022;Cena fuori;15;06;2022
26/06/2022;Cibo;36;06;2022
26/06/2022;Cena fuori;7,3;06;2022
26/06/2022;Cena fuori;10;06;2022
20/06/2022;Cena fuori;43;06;2022
20/06/2022;Generali;27;06;2022
19/06/2022;Cibo;28;06;2022
15/06/2022;Cibo;10;06;2022
15/06/2022;Cibo;40;06;2022
12/06/2022;Cena fuori;15;06;2022
10/06/2022;Cibo;26;06;2022
07/06/2022;Generali;19;06;2022
06/06/2022;Regali;10;06;2022
05/06/2022;Cena fuori;20;06;2022
05/06/2022;Cibo;17;06;2022
04/06/2022;Cibo;16;06;2022
04/06/2022;Cibo;21;06;2022
03/06/2022;Cena fuori;55;06;2022
03/06/2022;Cena fuori;12;06;2022
01/06/2022;Cena fuori;5;06;2022
01/06/2022;Cibo;21,5;06;2022
01/06/2022;Cibo;69;06;2022
28/05/2022;Casalinghi;33;05;2022
27/05/2022;Generali;7;05;2022
27/05/2022;Cibo;23;05;2022
25/05/2022;Cibo;34;05;2022
24/05/2022;Cibo;70;05;2022
23/05/2022;Viaggio;30;05;2022
22/05/2022;Cena fuori;14,5;05;2022
19/05/2022;Cibo;20;05;2022
19/05/2022;Cibo;24;05;2022
16/05/2022;Cibo;26;05;2022
14/05/2022;Cena fuori;6;05;2022
14/05/2022;Cena fuori;26;05;2022
13/05/2022;Cibo;14;05;2022
09/05/2022;Cibo;60;05;2022
09/05/2022;Cibo;21;05;2022
03/05/2022;Pagamento;265,75;05;2022
01/05/2022;Cibo;34;05;2022
01/05/2022;Cibo;6;05;2022
30/04/2022;Cibo;10;04;2022
29/04/2022;Casalinghi;13;04;2022
29/04/2022;Cibo;46;04;2022
29/04/2022;Cena fuori;7;04;2022
25/04/2022;Cibo;16;04;2022
23/04/2022;Cena fuori;23;04;2022
23/04/2022;Cena fuori;7;04;2022
22/04/2022;Cibo;65;04;2022
22/04/2022;Cibo;36;04;2022
21/04/2022;Cena fuori;14;04;2022
14/04/2022;Cibo;15;04;2022
14/04/2022;Cibo;30;04;2022
13/04/2022;Cena fuori;22;04;2022
11/04/2022;Generali;30;04;2022
10/04/2022;Cena fuori;20;04;2022
09/04/2022;Cena fuori;26;04;2022
08/04/2022;Cena fuori;20;04;2022
08/04/2022;Cena fuori;15;04;2022
05/04/2022;Regali;10;04;2022
05/04/2022;Cibo;20;04;2022
28/03/2022;Cibo;23;03;2022
25/03/2022;Cibo;11;03;2022
25/03/2022;Cena fuori;14;03;2022
23/03/2022;Cibo;10;03;2022
21/03/2022;Cena fuori;14;03;2022
21/03/2022;Cibo;17;03;2022
14/03/2022;Cibo;38;03;2022
14/03/2022;Cena fuori;24;03;2022
14/03/2022;Cibo;7,5;03;2022
12/03/2022;Cibo;45;03;2022
09/03/2022;Cibo;50;03;2022
09/03/2022;Cibo;80;03;2022
08/03/2022;Cena fuori;20;03;2022
08/03/2022;Cena fuori;15;03;2022
06/03/2022;Cibo;30;03;2022
03/03/2022;Cena fuori;15;03;2022
25/02/2022;Cibo;20;02;2022
23/02/2022;Cibo;16;02;2022
22/02/2022;Cibo;16;02;2022
22/02/2022;Spese mediche;5;02;2022
19/02/2022;Cena fuori;17;02;2022
18/02/2022;Cibo;13;02;2022
17/02/2022;Cibo;79;02;2022
17/02/2022;Cena fuori;23;02;2022
15/02/2022;Cibo;48;02;2022
13/02/2022;Cibo;45;02;2022
13/02/2022;Cibo;35;02;2022
13/02/2022;Cena fuori;14;02;2022
08/02/2022;Generali;9;02;2022
08/02/2022;Cibo;5;02;2022
08/02/2022;Cena fuori;15;02;2022
07/02/2022;Cibo;4;02;2022
06/02/2022;Cena fuori;17;02;2022
02/02/2022;Cibo;18;02;2022
02/02/2022;Cibo;60;02;2022
02/02/2022;Cibo;6;02;2022
31/01/2022;Cena fuori;29;01;2022
30/01/2022;Cibo;25;01;2022
29/01/2022;Cena fuori;15,6;01;2022
28/01/2022;Cena fuori;19;01;2022
28/01/2022;Cibo;19;01;2022
27/01/2022;Cibo;62,39;01;2022
25/01/2022;Cena fuori;24;01;2022
23/01/2022;Generali;10;01;2022
21/01/2022;Cibo;13;01;2022
18/01/2022;Generali;8;01;2022
16/01/2022;Cena fuori;15;01;2022
15/01/2022;Cibo;72;01;2022
15/01/2022;Cena fuori;7;01;2022
13/01/2022;Cibo;22;01;2022
12/01/2022;Cena fuori;7;01;2022
12/01/2022;Cibo;34;01;2022
10/01/2022;Cibo;30;01;2022
10/01/2022;Cena fuori;18;01;2022
10/01/2022;Cibo;7;01;2022
06/01/2022;Cibo;32;01;2022
05/01/2022;Cena fuori;15;01;2022
04/01/2022;Cibo;40;01;2022
31/12/2021;Generali;6;12;2021
31/12/2021;Cena fuori;8;12;2021
30/12/2021;Cibo;40;12;2021
30/12/2021;Cibo;55;12;2021
16/12/2021;Cena fuori;6;12;2021
16/12/2021;Cena fuori;15;12;2021
13/12/2021;Cibo;18;12;2021
06/12/2021;Cibo;40;12;2021
02/12/2021;Cibo;65;12;2021
28/11/2021;Cena fuori;6;11;2021
28/11/2021;Cena fuori;45;11;2021
27/11/2021;Generali;10;11;2021
27/11/2021;Generali;20;11;2021
27/11/2021;Cibo;16;11;2021
27/11/2021;Cena fuori;50;11;2021
23/11/2021;Casalinghi;14;11;2021
23/11/2021;Cibo;16;11;2021
21/11/2021;Cena fuori;15;11;2021
21/11/2021;Cibo;16;11;2021
20/11/2021;Cibo;20;11;2021
18/11/2021;Cibo;26;11;2021
18/11/2021;Cibo;15;11;2021
18/11/2021;Cibo;30;11;2021
12/11/2021;Cena fuori;14;11;2021
11/11/2021;Cibo;20;11;2021
08/11/2021;Cibo;50;11;2021
07/11/2021;Cena fuori;38;11;2021
07/11/2021;TV/Telefono/Internet;6;11;2021
07/11/2021;Cibo;22;11;2021
06/11/2021;Cibo;40;11;2021
05/11/2021;Cena fuori;33;11;2021
05/11/2021;Cibo;33;11;2021
02/11/2021;Cibo;10;11;2021
02/11/2021;Cibo;75;11;2021
31/10/2021;Generali;60;10;2021
27/10/2021;Cena fuori;17;10;2021
27/10/2021;Cibo;15;10;2021
17/10/2021;Generali;24;10;2021
17/10/2021;Cibo;20;10;2021
17/10/2021;Cena fuori;7;10;2021
10/10/2021;Cibo;13;10;2021
10/10/2021;Cena fuori;10;10;2021
10/10/2021;Cibo;7;10;2021
10/10/2021;Cena fuori;13;10;2021
08/10/2021;Cibo;11;10;2021
07/10/2021;Generali;40;10;2021
06/10/2021;Cibo;17;10;2021
05/10/2021;Cena fuori;14;10;2021
03/10/2021;Cibo;33;10;2021
03/10/2021;Cibo;26;10;2021
03/10/2021;Cena fuori;15;10;2021
02/10/2021;Casalinghi;22;10;2021
30/09/2021;Cena fuori;14;09;2021
26/09/2021;Cena fuori;53;09;2021
26/09/2021;Cena fuori;10;09;2021
26/09/2021;Cibo;8;09;2021
24/09/2021;Cibo;50;09;2021
24/09/2021;Cena fuori;13;09;2021
22/09/2021;Cibo;30;09;2021
19/09/2021;Cena fuori;40;09;2021
19/09/2021;Cibo;15;09;2021
15/09/2021;Cena fuori;13;09;2021
15/09/2021;Cibo;24;09;2021
14/09/2021;Cena fuori;10;09;2021
13/09/2021;Generali;12;09;2021
13/09/2021;Cibo;17;09;2021
12/09/2021;Cibo;20;09;2021
12/09/2021;Generali;8;09;2021
10/09/2021;Generali;10;09;2021
10/09/2021;Cibo;42;09;2021
10/09/2021;Casalinghi;50;09;2021
09/09/2021;Cena fuori;15;09;2021
07/09/2021;Casalinghi;46;09;2021
06/09/2021;Cena fuori;16;09;2021
06/09/2021;Generali;14;09;2021
05/09/2021;Cena fuori;50;09;2021
28/08/2021;Generali;25;08;2021
28/08/2021;Cena fuori;6;08;2021
26/08/2021;Generali;13;08;2021
24/08/2021;Generali;33;08;2021
18/08/2021;Generali;20;08;2021
08/08/2021;Pagamento;16,8;08;2021
08/08/2021;Pagamento;16;08;2021
08/08/2021;Generali;16;08;2021
01/08/2021;Generali;6,8;08;2021
01/08/2021;Generali;10;08;2021
01/08/2021;Cibo;18;08;2021
30/07/2021;Generali;16;07;2021
30/07/2021;Cena fuori;14;07;2021
27/07/2021;Cena fuori;14;07;2021
27/07/2021;Cibo;10;07;2021
27/07/2021;Pagamento;45,15;07;2021
25/07/2021;Generali;17,4;07;2021
25/07/2021;Cena fuori;21,5;07;2021
24/07/2021;Cena fuori;12;07;2021
24/07/2021;Cena fuori;30;07;2021
24/07/2021;Cena fuori;20;07;2021
24/07/2021;Cibo;5;07;2021
20/07/2021;Cibo;5;07;2021
20/07/2021;Cibo;43;07;2021
18/07/2021;Cena fuori;76;07;2021
08/07/2021;Cibo;110;07;2021
01/07/2021;Cibo;22;07;2021
01/07/2021;Cibo;30;07;2021
29/06/2021;Cibo;26;06;2021
27/06/2021;Cena fuori;14;06;2021
23/06/2021;Viaggio;24;06;2021
23/06/2021;Generali;49;06;2021
18/06/2021;Cibo;100;06;2021
18/06/2021;Cena fuori;14;06;2021
18/06/2021;Generali;34;06;2021
15/06/2021;Generali;26;06;2021
14/06/2021;Cibo;44,3;06;2021
14/06/2021;Cena fuori;38;06;2021
12/06/2021;Cibo;110;06;2021
08/06/2021;Cibo;40;06;2021
04/06/2021;Cena fuori;10;06;2021
03/06/2021;Cibo;85;06;2021
02/06/2021;Cena fuori;14;06;2021
29/05/2021;Cena fuori;12;05;2021
28/05/2021;Cibo;34;05;2021
28/05/2021;Cibo;17;05;2021
27/05/2021;Casalinghi;65;05;2021
26/05/2021;Cena fuori;16,4;05;2021
25/05/2021;Cibo;21;05;2021
25/05/2021;Cibo;30;05;2021
21/05/2021;Casalinghi;116;05;2021
21/05/2021;Generali;19,5;05;2021
20/05/2021;Cibo;50;05;2021
20/05/2021;Casalinghi;80;05;2021
20/05/2021;Cibo;60;05;2021
19/05/2021;Cena fuori;14;05;2021
19/05/2021;Cibo;57;05;2021
06/05/2021;Cena fuori;15;05;2021
04/05/2021;Cibo;39;05;2021
03/05/2021;Cibo;22;05;2021
26/04/2021;Cibo;16;04;2021
26/04/2021;Cena fuori;14;04;2021
26/04/2021;Generali;40;04;2021
25/04/2021;Generali;35,5;04;2021
24/04/2021;Cibo;12;04;2021
23/04/2021;Cibo;10;04;2021
21/04/2021;Cibo;67;04;2021
18/04/2021;Cibo;30;04;2021
18/04/2021;Cibo;100;04;2021
15/04/2021;Cibo;30;04;2021
13/04/2021;Cibo;53;04;2021
13/04/2021;Generali;151,75;04;2021
12/04/2021;Cena fuori;14;04;2021
08/04/2021;Cibo;44;04;2021
07/04/2021;Cibo;19;04;2021
06/04/2021;Cibo;18;04;2021
02/04/2021;Cibo;30;04;2021
02/04/2021;Cibo;47;04;2021
31/03/2021;Cibo;33;03;2021
31/03/2021;Cibo;16;03;2021
29/03/2021;Cibo;118;03;2021
28/03/2021;Cena fuori;20;03;2021
23/03/2021;Cibo;17;03;2021
22/03/2021;Cena fuori;14,5;03;2021
20/03/2021;Cibo;12;03;2021
19/03/2021;Cibo;6;03;2021
17/03/2021;Generali;8;03;2021
17/03/2021;Cibo;53;03;2021
17/03/2021;Cibo;32;03;2021
16/03/2021;Cena fuori;11;03;2021
15/03/2021;Cibo;52;03;2021
14/03/2021;Cibo;21;03;2021
12/03/2021;Cena fuori;15;03;2021
12/03/2021;Pagamento;148,75;03;2021
12/03/2021;Cibo;64;03;2021
10/03/2021;Cibo;40;03;2021
05/03/2021;Casalinghi;2,5;03;2021
05/03/2021;Cibo;24;03;2021
05/03/2021;Cibo;9;03;2021
02/03/2021;Cibo;17;03;2021
27/02/2021;Cibo;8;02;2021
27/02/2021;Generali;7;02;2021
27/02/2021;Generali;28;02;2021
26/02/2021;Cibo;28;02;2021
26/02/2021;Cibo;59;02;2021
26/02/2021;Cena fuori;7;02;2021
25/02/2021;Spese mediche;13,5;02;2021
25/02/2021;Cena fuori;14;02;2021
20/02/2021;Cena fuori;14;02;2021
20/02/2021;Cibo;56,77;02;2021
20/02/2021;Cibo;25,77;02;2021
20/02/2021;Cibo;6,98;02;2021
18/02/2021;Cibo;7;02;2021
16/02/2021;Cibo;5;02;2021
15/02/2021;Cena fuori;45;02;2021
15/02/2021;Cibo;36;02;2021
14/02/2021;Cibo;64;02;2021
13/02/2021;Generali;45;02;2021
13/02/2021;Cena fuori;11;02;2021
12/02/2021;Cena fuori;25;02;2021
09/02/2021;Cena fuori;13,5;02;2021
08/02/2021;Cibo;82;02;2021
05/02/2021;Generali;5;02;2021
04/02/2021;Cibo;7;02;2021
02/02/2021;Cibo;70;02;2021
02/02/2021;Cena fuori;11;02;2021
21/01/2021;Generali;22,5;01;2021
06/11/2020;Cibo;15;11;2020
05/11/2020;Cibo;19;11;2020
05/11/2020;Cibo;32;11;2020
03/11/2020;Cena fuori;12;11;2020
01/11/2020;Cena fuori;15;11;2020
30/10/2020;Cibo;10;10;2020
29/10/2020;Cibo;5;10;2020
29/10/2020;Cibo;2;10;2020
27/10/2020;Cibo;25;10;2020
27/10/2020;Cena fuori;11;10;2020
27/10/2020;Cena fuori;14;10;2020
23/10/2020;Cena fuori;12;10;2020
20/10/2020;Cibo;5;10;2020
20/10/2020;Cena fuori;5;10;2020
15/10/2020;Cena fuori;6;10;2020
11/10/2020;Cibo;2;10;2020
08/10/2020;Generali;14;10;2020
25/09/2020;Cena fuori;5;09;2020
23/09/2020;Cibo;3;09;2020
22/09/2020;Cibo;30;09;2020
20/09/2020;Cena fuori;40;09;2020
19/09/2020;Cena fuori;12;09;2020
15/09/2020;Cibo;28;09;2020
15/09/2020;Generali;17;09;2020
13/09/2020;Cibo;84;09;2020
11/09/2020;Cibo;16;09;2020
11/09/2020;Cena fuori;6;09;2020
10/09/2020;Cena fuori;15;09;2020
07/09/2020;Cibo;53;09;2020
06/09/2020;Cena fuori;10;09;2020
03/09/2020;Cibo;25;09;2020
02/09/2020;Pagamento;5,75;09;2020
02/09/2020;Cena fuori;12;09;2020
26/08/2020;Cena fuori;11,5;08;2020
10/05/2020;Pagamento;1,52;05;2020
06/05/2020;Cibo;14;05;2020
06/05/2020;Generali;15;05;2020
03/05/2020;Cena fuori;17;05;2020
01/05/2020;Cena fuori;13;05;2020
30/04/2020;Cibo;11;04;2020
29/04/2020;Cena fuori;6,5;04;2020
29/04/2020;Cibo;5,68;04;2020
29/04/2020;Cibo;17,8;04;2020
23/04/2020;Cibo;4;04;2020
23/04/2020;Pagamento;4,6;04;2020
06/04/2020;Cibo;13,84;04;2020
30/03/2020;Cibo;2,96;03;2020
27/03/2020;Cibo;13;03;2020
21/03/2020;Cibo;13;03;2020
18/03/2020;Cena fuori;13;03;2020
18/03/2020;Cibo;4;03;2020
13/03/2020;Cena fuori;14;03;2020
13/03/2020;Cibo;10;03;2020
07/03/2020;Cena fuori;15;03;2020
04/03/2020;Spese mediche;7,9;03;2020
01/03/2020;Cibo;6,2;03;2020
29/02/2020;Cibo;21;02;2020
28/02/2020;Pagamento;12,5;02;2020
